dataset,dataset_id,role,fold,method,candidate_count,selected_calibration,feature_kind,model_kind,target_mode,alpha,selection_rule,guard_pass,seed,test_prediction_accessed_before_lock,test_truth_accessed_before_lock,source_selection_lock_sha256,public_selection_lock_path,public_selection_lock_sha256,candidate_table_path
MHPR,MHPR_current_panel,cross_platform,3,GeneSPT-GC,57,pca32_elasticnet_scale_only_alpha0.001,pca32,elasticnet,scale_only,0.001,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,e4cc362ea812b32612c1462e193285c5c447c76f69a9c3911e84b7852eccb1b5,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold3/selection_lock_public.json,2f041eb2452535d0dba2dc813ec755833b3eb8981efcbbfb4a13ffcbc4ed6d73,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold3/GeneSPT-GC/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,4,GeneSPT,57,nmf32_elasticnet_scale_only_alpha0.01,nmf32,elasticnet,scale_only,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,63749ff16aadd9467a248073af494b88c1501c0c26c2643d678efaa2a826ea27,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold4/selection_lock_public.json,d06489b01341c0a13a5feb6fa2f3c9c9761776d4c9603b81e34cddd87632e1f5,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold4/GeneSPT/validation_candidates.csv
MHPR,MHPR_current_panel,cross_platform,4,GeneSPT-GC,57,nmf32_ridge_scale_only_alpha0.1,nmf32,ridge,scale_only,0.1,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,63749ff16aadd9467a248073af494b88c1501c0c26c2643d678efaa2a826ea27,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold4/selection_lock_public.json,d06489b01341c0a13a5feb6fa2f3c9c9761776d4c9603b81e34cddd87632e1f5,protocol_a_reproducibility/readout_selections/MHPR_current_panel/fold4/GeneSPT-GC/validation_candidates.csv
MVC,MVC_shared981,cross_platform,0,GeneSPT,57,nmf32_ridge_scale_only_alpha1,nmf32,ridge,scale_only,1.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,eedc35c105387cf936b280f7f01c9e6b3bcf26f2824eb4b38679987de9d12ae5,protocol_a_reproducibility/readout_selections/MVC_shared981/fold0/selection_lock_public.json,e90a3793eb723dc3d5aea6c42a93b8a0bf814a9bed0dc239adbee1fa2b524f8a,protocol_a_reproducibility/readout_selections/MVC_shared981/fold0/GeneSPT/validation_candidates.csv
MVC,MVC_shared981,cross_platform,0,GeneSPT-GC,57,nmf32_ridge_affine_alpha10,nmf32,ridge,affine,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,eedc35c105387cf936b280f7f01c9e6b3bcf26f2824eb4b38679987de9d12ae5,protocol_a_reproducibility/readout_selections/MVC_shared981/fold0/selection_lock_public.json,e90a3793eb723dc3d5aea6c42a93b8a0bf814a9bed0dc239adbee1fa2b524f8a,protocol_a_reproducibility/readout_selections/MVC_shared981/fold0/GeneSPT-GC/validation_candidates.csv
MVC,MVC_shared981,cross_platform,1,GeneSPT,57,nmf32_ridge_affine_alpha100,nmf32,ridge,affine,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,f19b6fe960b0f96c0b8c906c285fd7dc925c2b0db15b662567751044461e9258,protocol_a_reproducibility/readout_selections/MVC_shared981/fold1/selection_lock_public.json,e23b66ad9ba7f205b8e040ea6117356895581e49ad8b83f5400295e2e8a8e4e6,protocol_a_reproducibility/readout_selections/MVC_shared981/fold1/GeneSPT/validation_candidates.csv
MVC,MVC_shared981,cross_platform,1,GeneSPT-GC,57,pca32_ridge_affine_alpha10,pca32,ridge,affine,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,f19b6fe960b0f96c0b8c906c285fd7dc925c2b0db15b662567751044461e9258,protocol_a_reproducibility/readout_selections/MVC_shared981/fold1/selection_lock_public.json,e23b66ad9ba7f205b8e040ea6117356895581e49ad8b83f5400295e2e8a8e4e6,protocol_a_reproducibility/readout_selections/MVC_shared981/fold1/GeneSPT-GC/validation_candidates.csv
MVC,MVC_shared981,cross_platform,2,GeneSPT,57,nmf32_ridge_mean_only_alpha10,nmf32,ridge,mean_only,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,4b473043ac723292698ecc039f74b585f94f997d248465e6c64155b98a59346a,protocol_a_reproducibility/readout_selections/MVC_shared981/fold2/selection_lock_public.json,35ec1a2502ae299681d6999bacda4619ab888a8e9a986e0874abedda29842f95,protocol_a_reproducibility/readout_selections/MVC_shared981/fold2/GeneSPT/validation_candidates.csv
MVC,MVC_shared981,cross_platform,2,GeneSPT-GC,57,nmf32_elasticnet_mean_only_alpha0.01,nmf32,elasticnet,mean_only,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,4b473043ac723292698ecc039f74b585f94f997d248465e6c64155b98a59346a,protocol_a_reproducibility/readout_selections/MVC_shared981/fold2/selection_lock_public.json,35ec1a2502ae299681d6999bacda4619ab888a8e9a986e0874abedda29842f95,protocol_a_reproducibility/readout_selections/MVC_shared981/fold2/GeneSPT-GC/validation_candidates.csv
MVC,MVC_shared981,cross_platform,3,GeneSPT,57,nmf32_ridge_affine_alpha1,nmf32,ridge,affine,1.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,63f1047f28d0d8af4e622c86059e30892ddbfef2b066abde8859c88d27d90d91,protocol_a_reproducibility/readout_selections/MVC_shared981/fold3/selection_lock_public.json,82c311ec7d7a68dcc37d4c6be129290adb1677069aed9e938cfac5afd3128577,protocol_a_reproducibility/readout_selections/MVC_shared981/fold3/GeneSPT/validation_candidates.csv
MVC,MVC_shared981,cross_platform,3,GeneSPT-GC,57,pca32_ridge_affine_alpha100,pca32,ridge,affine,100.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,63f1047f28d0d8af4e622c86059e30892ddbfef2b066abde8859c88d27d90d91,protocol_a_reproducibility/readout_selections/MVC_shared981/fold3/selection_lock_public.json,82c311ec7d7a68dcc37d4c6be129290adb1677069aed9e938cfac5afd3128577,protocol_a_reproducibility/readout_selections/MVC_shared981/fold3/GeneSPT-GC/validation_candidates.csv
MVC,MVC_shared981,cross_platform,4,GeneSPT,57,nmf32_elasticnet_scale_only_alpha0.01,nmf32,elasticnet,scale_only,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,ba66c0a1b36c8c8263b4397625104a206f8e170b26345e6c4643b63fbbd770f8,protocol_a_reproducibility/readout_selections/MVC_shared981/fold4/selection_lock_public.json,510fa121f258c49d78c48be36791a1d90883a4842f63cfd3803d3ac042496f1e,protocol_a_reproducibility/readout_selections/MVC_shared981/fold4/GeneSPT/validation_candidates.csv
MVC,MVC_shared981,cross_platform,4,GeneSPT-GC,57,nmf32_elasticnet_affine_alpha0.01,nmf32,elasticnet,affine,0.01,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,ba66c0a1b36c8c8263b4397625104a206f8e170b26345e6c4643b63fbbd770f8,protocol_a_reproducibility/readout_selections/MVC_shared981/fold4/selection_lock_public.json,510fa121f258c49d78c48be36791a1d90883a4842f63cfd3803d3ac042496f1e,protocol_a_reproducibility/readout_selections/MVC_shared981/fold4/GeneSPT-GC/validation_candidates.csv
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,cross_platform,0,GeneSPT,57,pca32_ridge_affine_alpha10,pca32,ridge,affine,10.0,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,c800e9e8958c3a40790145f559e3941f3b2fe141b1c5b10ca9de902345d93eb3,protocol_a_reproducibility/readout_selections/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/selection_lock_public.json,65dcb3ff9440e27e2bdf8c7b2bdfa7034ad0b53f47e7a9ff69d5e8eb2737eb85,protocol_a_reproducibility/readout_selections/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT/validation_candidates.csv
seqFISH+,seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000,cross_platform,0,GeneSPT-GC,57,pca32_ridge_affine_alpha0.1,pca32,ridge,affine,0.1,maximum_validation_SSIM_subject_to_guards_then_raw_tie_score,True,42,False,False,c800e9e8958c3a40790145f559e3941f3b2fe141b1c5b10ca9de902345d93eb3,protocol_a_reproducibility/readout_selections/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/selection_lock_public.json,65dcb3ff9440e27e2bdf8c7b2bdfa7034ad0b53f47e7a9ff69d5e8eb2737eb85,protocol_a_reproducibility/readout_selections/seqFISH_plus_cortex_svz_zeisel_sccortex_ref_shared10000/fold0/GeneSPT-GC/validation_candidates.csv
